Congruent,Incongruent,Difference,,
12.079,19.278,-7.199,14.051125,<-Congruent_Mean
16.791,18.741,-1.95,22.01591667,<-Incongruent_Mean
9.564,21.214,-11.65,-7.964791667,<-point_estimate for μc-μi
8.63,15.687,-7.057,,
14.669,22.803,-8.134,3.559357958,<-SampleSD(Congruent)
12.238,20.878,-8.64,4.797057122,<-SampleSD(Incongruent)
14.692,24.572,-9.88,4.86482691,<-SampleSD(Difference)
8.987,17.394,-8.407,,
9.401,20.762,-11.361,12.66902907,<-Variance(Congruent)
14.48,26.282,-11.802,23.01175704,<-Variance(Incongruent)
22.328,24.524,-2.196,23.66654087,<-Variance(Difference)
15.298,18.644,-3.346,,
15.073,17.51,-2.437,0.7265509007,<-SE(Congruent)
16.929,20.33,-3.401,0.9791951848,<-SE(Incongruent)
18.2,35.255,-17.055,0.9930286348,<-SE(Difference)
12.13,22.158,-10.028,,
18.495,25.139,-6.644,,
10.639,20.429,-9.79,,
11.344,17.425,-6.081,,
12.369,34.288,-21.919,,
12.944,23.894,-10.95,,
14.233,17.96,-3.727,,
19.71,22.058,-2.348,,
16.004,21.157,-5.153,,